"TIMESTAMP","RELATIVE_HUMIDITY","TEMPERATURE","PARENT_ID"
"2011-06-04 15:38:00",66,21,1
"2011-06-04 16:38:00",66,21,1
"2011-06-04 17:38:00",66,20.8,1
"2011-06-04 18:38:00",66,20.8,1
"2011-06-04 19:38:00",66,20.8,1
"2011-06-04 20:38:00",66,21,1
"2011-06-04 21:38:00",65,21.5,1
"2011-06-04 22:38:00",61,23,1
"2011-06-04 23:38:00",59,24,1
"2011-06-05 00:38:00",58,24,1
"2011-06-05 01:38:00",58,23.8,1
"2011-06-05 02:38:00",58,23.5,1
"2011-06-05 03:38:00",57,23.5,1
"2011-06-05 04:38:00",58,23.3,1
"2011-06-05 05:38:00",59,22.8,1
"2011-06-05 06:38:00",61,22.3,1
"2011-06-05 07:38:00",62,22,1
"2011-06-05 08:38:00",63,22,1
"2011-06-05 09:38:00",65,21.8,1
"2011-06-05 10:38:00",65,21.8,1
"2011-06-05 11:38:00",65,21.5,1
"2011-06-05 12:38:00",65,21.5,1
"2011-06-05 13:38:00",65,21.5,1
"2011-06-05 14:38:00",65,21.3,1
"2011-06-05 15:38:00",65,21.3,1
"2011-06-05 16:38:00",65,21.3,1
"2011-06-05 17:38:00",65,21,1
"2011-06-05 18:38:00",65,21,1
"2011-06-05 19:38:00",65,21,1
"2011-06-05 20:38:00",66,20.8,1
"2011-06-05 21:38:00",66,20.8,1
"2011-06-05 22:38:00",66,21,1
"2011-06-05 23:38:00",65,21.5,1
"2011-06-06 00:38:00",65,21.8,1
"2011-06-06 01:38:00",65,22,1
"2011-06-06 02:38:00",65,22.5,1
"2011-06-06 03:38:00",61,22.3,1
"2011-06-06 04:38:00",62,21.8,1
"2011-06-06 05:38:00",64,22,1
"2011-06-06 06:38:00",64,22,1
"2011-06-06 07:38:00",63,22,1
"2011-06-06 08:38:00",63,21.8,1
"2011-06-06 09:38:00",64,21.5,1
"2011-06-06 10:38:00",63,21.3,1
"2011-06-06 11:37:00",63,21,1
"2011-06-06 12:37:00",65,21,1
"2011-06-06 13:37:00",63,21,1
"2011-06-06 14:37:00",64,20.8,1
"2011-06-06 15:37:00",63,20.5,1
"2011-06-06 16:37:00",63,20.5,1
"2011-06-06 17:37:00",63,20.5,1
"2011-06-06 18:37:00",62,20.5,1
"2011-06-06 19:37:00",62,20.5,1
"2011-06-06 20:37:00",61,21,1
"2011-06-06 21:37:00",60,22.5,1
"2011-06-06 22:37:00",58,23.8,1
"2011-06-06 23:37:00",57,23.5,1
"2011-06-07 00:37:00",56,23.3,1
"2011-06-07 01:37:00",56,23,1
"2011-06-07 02:37:00",56,23,1
"2011-06-07 03:37:00",56,22.8,1
"2011-06-07 04:37:00",56,23.3,1
"2011-06-07 05:37:00",55,23,1
"2011-06-07 06:37:00",55,22.5,1
"2011-06-07 07:38:00",56,22.3,1
"2011-06-07 08:38:00",56,22,1
"2011-06-07 09:38:00",57,22,1
"2011-06-07 10:38:00",57,21.8,1
"2011-06-07 11:38:00",57,21.5,1
"2011-06-07 12:38:00",57,21.3,1
"2011-06-07 13:38:00",57,20.8,1
"2011-06-07 14:38:00",57,20.5,1
"2011-06-07 15:38:00",57,20.8,1
"2011-06-07 16:38:00",57,20.8,1
"2011-06-07 17:38:00",56,21,1
"2011-06-07 18:38:00",56,20.8,1
"2011-06-07 19:38:00",55,21,1
"2011-06-07 20:38:00",55,21.3,1
"2011-06-07 21:38:00",56,22,1
"2011-06-07 22:38:00",55,23.3,1
"2011-06-07 23:38:00",54,23.3,1
"2011-06-08 00:38:00",50,23.5,1
"2011-06-08 01:38:00",49,23.3,1
"2011-06-08 02:38:00",48,23,1
"2011-06-08 03:38:00",49,23.3,1
"2011-06-08 04:37:00",49,23.3,1
"2011-06-08 05:37:00",49,23,1
"2011-06-08 06:37:00",50,22.3,1
"2011-06-08 07:37:00",50,22,1
"2011-06-08 08:37:00",51,22,1
"2011-06-08 09:37:00",50,22,1
"2011-06-08 10:37:00",50,21.8,1
"2011-06-08 11:37:00",50,21,1
"2011-06-08 12:37:00",51,20.5,1
