ID,USER_ID,USER_NAME,SOURCE,TEXT,CREATED,FAVORITED,RETWEET,RETWEET_COUNT,RETWEET_BY_ME,POSSIBLY_SENSITIVE,GEO_LATITUDE,GEO_LONGITUDE,LANGUAGE_CODE,PLACE,PLACE_TYPE,PLACE_URL,STREET_ADDRESS,COUNTRY,COUNTRY_CODE,IN_REPLY_TO_STATUS_ID,IN_REPLY_TO_USER_ID,RETWEETED_STATUS_ID,RETWEETED_STATUS_USER_ID,RETWEETED_STATUS_CREATED,EXPANDED_URLS
410544859280584704,388364759,"Matt Lewis","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @YourAnonNews: butts","2013-12-10 23:01:36",false,true,0,false,false,"","","","","","","","","",-1,-1,410544174853660672,279390084,"2013-12-10 22:58:53",""
410544859288584192,917317448,"A + gata ♥",web,"Acho q vou mudar as musicas do meu tumblr...","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
410544859280203776,797927282,"Flip ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @iTweetFacts: 7 #Life rules http://t.co/VPYlnFMaPI","2013-12-10 23:01:36",false,true,0,false,false,"","","","","","","","","",-1,-1,410408969237458944,109970442,"2013-12-10 14:01:37",""
410544859276406784,1161623053,"Boosie ♥","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Friday w. vixkey gone be A1 >","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
410544859251212288,288473477,"Tayná Larissa '",web,"RT @NotasDoAmor: Não duvide de meu potencial, você não sabe nem metade da minha capacidade.","2013-12-10 23:01:36",false,true,0,false,false,"","","","","","","","","",-1,-1,410544471940804608,110938136,"2013-12-10 23:00:04",""
410544859259215872,597234080,あかさたなかじ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","アップデートww 大胆。","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
410544859276410880,517784205,"Jen Wootten","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","@littlemcaravan we shall live foreverm.... @TheMindBlowing: People with weird or awkward personalities have a longer lifespan!","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,1593250130,"","","",""
410544859280584704,476101959,"Pursuit of Happiness","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oj.. lo siento pero no soporto a estas dos #TierraDeLobos12","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",-1,-1,"","","",""
410544859272192000,1274599105,Dimitrije,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @babe_contagious: NEKAD STE ME PRATILI JEBEMVAMSVE http://t.co/O9aT3JnYqU","2013-12-10 23:01:36",false,true,0,false,false,"","","","","","","","","",-1,-1,410217417017544704,2216205347,"2013-12-10 01:20:28",""
410544859280179200,901925606,今井理江,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@FivTreIsl 
まやさんありがとうございます(*´ω｀*)♡うれしいです！またあえる日か楽しみにしてます！","2013-12-10 23:01:36",false,false,0,false,false,"","","","","","","","","",410429213850619904,304366165,"","","",""
