 num     #instances         #bytes  class name (module)
  87:           425          17000  java.security.AccessControlContext (java.base@11.0.2)
  88:          1058          16928  sun.font.Font2DHandle (java.desktop@11.0.2)
  89:           423          16920  java.math.BigInteger (java.base@11.0.2)
  90:           695          16680  javax.swing.ActionMap (java.desktop@11.0.2)
  91:           410          16400  adams.core.option.OptionManager
  92:           292          16352  adams.core.option.IntegerOption
  93:           167          16032  sun.awt.image.ImageRepresentation (java.desktop@11.0.2)
  94:            97          15680  [Ljavax.swing.text.AbstractDocument$AbstractElement; (java.desktop@11.0.2)
  95:           620          14880  java.awt.AWTEventMulticaster (java.desktop@11.0.2)
  96:           465          14880  java.lang.invoke.DirectMethodHandle (java.base@11.0.2)
  97:           367          14680  adams.gui.goe.classtree.ClassNode
  98:           914          14624  sun.font.TrueTypeFont$TTDisposerRecord (java.desktop@11.0.2)
  99:           360          14400  adams.gui.goe.classtree.GlobalInfoNode
 100:           360          14400  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.2)
 101:           254          14224  java.lang.invoke.MethodTypeForm (java.base@11.0.2)
 102:            37          13912  javax.swing.JViewport (java.desktop@11.0.2)
 103:           156          13728  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.2)
 104:           854          13664  javax.swing.ArrayTable (java.desktop@11.0.2)
 105:           848          13568  java.beans.PropertyChangeSupport$PropertyChangeListenerMap (java.desktop@11.0.2)
 106:           112          13440  sun.awt.image.ByteInterleavedRaster (java.desktop@11.0.2)
 107:            38          13376  javax.swing.JPopupMenu$Separator (java.desktop@11.0.2)
 108:            33          12936  javax.swing.JLabel (java.desktop@11.0.2)
 109:            73          12848  sun.java2d.xr.XRSurfaceData$XRPixmapSurfaceData (java.desktop@11.0.2)
 110:           264          12672  javax.swing.ImageIcon (java.desktop@11.0.2)
 111:           263          12624  java.util.logging.LogManager$LoggerWeakRef (java.logging@11.0.2)
 112:           131          12576  java.awt.image.IndexColorModel (java.desktop@11.0.2)
 113:           157          12560  javax.swing.plaf.basic.BasicMenuItemUI (java.desktop@11.0.2)
 114:           223          12488  java.lang.Module (java.base@11.0.2)
 115:            93          12080  [F (java.base@11.0.2)
 116:           191          12072  [S (java.base@11.0.2)
 117:           213          11928  java.security.Provider$Service (java.base@11.0.2)
 118:           492          11808  java.security.Provider$ServiceKey (java.base@11.0.2)
 119:            25          11600  adams.gui.core.BaseButton
 120:           237          11376  adams.core.option.BaseObjectOption
 121:           235          11280  adams.core.option.StringOption
 122:            30          11280  java.lang.Thread (java.base@11.0.2)
 123:            78          11232  java.awt.image.DirectColorModel (java.desktop@11.0.2)
 124:           468          11232  javax.swing.InputMap (java.desktop@11.0.2)
 125:           691          11056  java.util.HashMap$KeySet (java.base@11.0.2)
 126:           153          11016  java.awt.geom.AffineTransform (java.desktop@11.0.2)
 127:           391          11008  [Ljava.security.ProtectionDomain; (java.base@11.0.2)
 128:           341          10912  jdk.internal.math.FDBigInteger (java.base@11.0.2)
 129:           124          10912  sun.font.Type1Font (java.desktop@11.0.2)
 130:           325          10400  java.lang.ref.PhantomReference (java.base@11.0.2)
 131:            55          10224  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.2)
 132:           208           9984  adams.core.option.ClassOption
 133:           411           9864  adams.core.logging.Logger
 134:            25           9600  javax.swing.JPopupMenu (java.desktop@11.0.2)
 135:           199           9552  sun.java2d.loops.Blit (java.desktop@11.0.2)
 136:            20           9440  javax.swing.JCheckBoxMenuItem (java.desktop@11.0.2)
 137:            19           9424  javax.swing.JMenu (java.desktop@11.0.2)
 138:            34           9248  javax.swing.CellRendererPane (java.desktop@11.0.2)
 139:            65           8840  javax.swing.plaf.metal.MetalScrollBarUI (java.desktop@11.0.2)
 140:           358           8592  java.util.Arrays$ArrayList (java.base@11.0.2)
 141:           354           8496  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.2)
 142:             5           8408  [[D (java.base@11.0.2)
 143:           257           8224  java.awt.Rectangle (java.desktop@11.0.2)
 144:             1           8208  [Lcom.mysql.jdbc.MysqlCharset;
 145:           126           8064  com.mysql.jdbc.ConnectionPropertiesImpl$BooleanConnectionProperty
 146:           167           8016  sun.awt.image.ToolkitImage (java.desktop@11.0.2)
 147:           163           7824  sun.java2d.loops.ScaledBlit (java.desktop@11.0.2)
 148:           244           7808  java.util.logging.LogManager$LogNode (java.logging@11.0.2)
 149:           243           7776  java.lang.Package (java.base@11.0.2)
 150:            20           7632  [Lsun.font.PhysicalFont; (java.desktop@11.0.2)
 151:           473           7568  javax.swing.AbstractButton$Handler (java.desktop@11.0.2)
 152:            16           7552  javax.swing.JToolBar$1 (java.desktop@11.0.2)
 153:           186           7440  java.security.ProtectionDomain (java.base@11.0.2)
 154:           232           7424  javax.swing.SizeRequirements (java.desktop@11.0.2)
 155:           185           7400  java.awt.image.BufferedImage (java.desktop@11.0.2)
 156:           184           7360  sun.font.XRGlyphCacheEntry (java.desktop@11.0.2)
 157:           182           7280  java.security.CodeSource (java.base@11.0.2)
 158:           128           7168  java.util.LinkedHashMap (java.base@11.0.2)
 159:            17           6800  adams.gui.core.BaseScrollPane
 160:           281           6744  sun.java2d.StateTrackableDelegate (java.desktop@11.0.2)
 161:           168           6720  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.2)
 162:           279           6696  java.util.ImmutableCollections$Set12 (java.base@11.0.2)
 163:           166           6640  javax.swing.text.html.parser.AttributeList (java.desktop@11.0.2)
 164:           204           6528  jdk.internal.reflect.UnsafeObjectFieldAccessorImpl (java.base@11.0.2)
 165:           405           6480  java.lang.Short (java.base@11.0.2)
 166:            72           6336  sun.awt.image.BufImgSurfaceData (java.desktop@11.0.2)
 167:           112           6272  java.awt.image.PixelInterleavedSampleModel (java.desktop@11.0.2)
 168:           130           6240  java.awt.image.DataBufferByte (java.desktop@11.0.2)
 169:           390           6240  javax.swing.event.ChangeEvent (java.desktop@11.0.2)
 170:           260           6240  javax.swing.plaf.basic.BasicButtonListener (java.desktop@11.0.2)
 171:           255           6120  javax.swing.text.html.parser.Entity (java.desktop@11.0.2)
 172:           108           6048  java.awt.BorderLayout (java.desktop@11.0.2)
 173:           249           5976  sun.awt.X11.XKeysym$Keysym2JavaKeycode (java.desktop@11.0.2)
 174:            57           5928  sun.awt.image.IntegerInterleavedRaster (java.desktop@11.0.2)
 175:           185           5920  java.awt.datatransfer.DataFlavor (java.datatransfer@11.0.2)
 176:            95           5912  [Ljava.lang.invoke.MethodHandle; (java.base@11.0.2)
 177:            92           5888  java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL (java.base@11.0.2)
