"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"367035211638247424","","","2013-08-12 21:29:48 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","It's been quite on the update front, but only due to the website requiring an upgrade. We're back! :-)","","","",""
"343949093254615042","","","2013-06-10 04:33:48 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","New release 0.4.3 available! https://t.co/Ymw6KzGN9M","","","","https://adams.cms.waikato.ac.nz/downloads"
"342477672330444800","","","2013-06-06 03:06:54 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","adams-imaging: the ImageMetaData transformer extracts EXIF/IPTC meta data from an image and generates a spreadheet from the information.","","","",""
"342427542566871040","","","2013-06-05 23:47:42 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","JavaExec standalone allows you to launch JVM process with same or augmented classpath. Allows post-processing of stdout/stderr output.","","","",""
"342393174314074112","","","2013-06-05 21:31:08 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Emailing support rewritten: CreateEmail, SendEmail, EmailFileReader, EmailFileWriter, EmailViewer instead of just Email sink.","","","",""
"341774941131272192","","","2013-06-04 04:34:30 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","TwitterListener source working again, after moving to twitter4j 3.0.3. Added global preferences dialog for keys/secrets.","","","",""
"337426820645408769","","","2013-05-23 04:36:37 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Complete rewrite of documentation generators for flows: DocBook and LateX. Newly added: XHTML.","","","",""
"336987735397113856","","","2013-05-21 23:31:51 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Added reader for Gnumeric workbooks. Excel, ODF and Gnumeric readers/writers now support reading/writing of multiple sheets at once.","","","",""
"336634024875393024","","","2013-05-21 00:06:20 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Added experimental support for loading SQL dumps as spreadsheets.","","","",""
"334494145362161664","","","2013-05-15 02:23:13 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","The SpreadSheetMerge transformer allows you to merge multiple sheets, either simple side-by-side or via row-matching using an ID column.","","","",""
"332592820265295872","","","2013-05-09 20:28:02 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Model files get automatically compressed/decompressed using gzip if the extension is .model.gz instead of .model alone.","","","",""
"331635045691428865","","","2013-05-07 05:02:11 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Improved flow editor UI experience: keeps expanded state now when applying flow processors, eg renaming global actors or events.","","","",""
"328640374220402689","","","2013-04-28 22:42:25 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Added transformers for evaluating WEKA clusterers (cross-validation, test, train/test).","","","",""
"326873061037068290","","","2013-04-24 01:39:45 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","WekaMergeInstances can process weka.core.Instances objects now directly. So far, transformer used file names as input.","","","",""
"326872311569477633","","","2013-04-24 01:36:46 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Email-handling just got easier with the introduction of a simple Address Book frontend and easier editing of email addresses in the GUI.","","","",""
"322489466533081089","","","2013-04-11 23:20:55 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","BinaryFileReader transformer and various byte-related conversions allow you to read in (and process) binary files now.","","","",""
"322489121895493633","","","2013-04-11 23:19:32 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","simplified quick info string generation: adams.core.QuickInfoHelper. Reworked all existing methods. Probably screwed up some in process.","","","",""
"321131453423435776","","","2013-04-08 05:24:39 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","It is now possible to attach variables to options consisting of arrays, eg the ""recipients"" of the Email sink.","","","",""
"319635796300816385","","","2013-04-04 02:21:27 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Just added WEKA converters that wrap around any ADAMS spreadsheet reader/writer: SpreadSheetLoader/Saver.","","","",""
"319222252136710146","","","2013-04-02 22:58:10 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","experimental feature: Database/FTP/SMTP/SSHConnection standalones allow prompting for password at runtime if no password provided.","","","",""
"316402373478199297","","","2013-03-26 04:12:58 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","The new SMTPConnection standalone allows overriding of global Email setup in flows.","","","",""
"316402112340836352","","","2013-03-26 04:11:56 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Breakpoint actor now uses tabbed pane, rather than separate dialogs: https://t.co/fUHfvjncXm","","","","https://adams.cms.waikato.ac.nz/elgg/blog/view/450"
"316070289018613760","","","2013-03-25 06:13:23 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Basic support for processing/displaying JSON files/objects is now available in the adams-core module.","","","",""
"314113194694152193","","","2013-03-19 20:36:36 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Added experimental locale support: eg allows importing CSV files in one locale and saving in another locale.","","","",""
"312311587652382720","","","2013-03-14 21:17:39 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Added generic Draw transformer to adams-imaging module. Supports setting pixels, drawing lines, rectangles, ovals, text and images.","","","",""
"312044099236675585","","","2013-03-14 03:34:45 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Added COUNTIF method to spreadsheet formulas. SpreadSheetAddFormulaColumn/Row conversions add user-supplied formulas to spreadsheets.","","","",""
"308411438882496512","","","2013-03-04 02:59:51 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I added a video to a @YouTube playlist http://t.co/EqCdoWl7qs Classifier evaluation: from simple to complex","","","","http://youtu.be/bZ85knCw30s?a"
"308410987642503170","","","2013-03-04 02:58:04 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Video available for turning a simple cross-validation flow into a complex, flexible one - http://t.co/Z5aGdeudeh","","","","http://www.youtube.com/watch?v=bZ85knCw30s"
"308410715084042240","","","2013-03-04 02:56:59 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Cross-validation: from simple to complex! http://t.co/EqCdoWl7qs","","","","http://youtu.be/bZ85knCw30s?a"
"306951782700036096","","","2013-02-28 02:19:42 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Groovy updated to 2.1.1, Jython to 2.5.3 and WEKA to 3.7.9.","","","",""
"306864863710412800","","","2013-02-27 20:34:19 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","ADAMS is now listed on Softpedia: http://t.co/SXRuZG9CFC","","","","http://www.softpedia.com/get/Programming/Other-Programming-Files/ADAMS.shtml"
